Q (m3/s);Production (MWh);
0.0;0.00;
0.5;6.08;
1.0;12.94;
1.5;19.26;
2.0;25.87;
2.5;32.33;
3.0;38.81;
3.5;45.09;
4.0;50.45;
4.2;52.50;
