Pompe;distance;minTechnique;incompatibilite;debutArret;finArret;prodMin;nbPieces;nbMin;nbAchat;Achats;minTpsConstant;catPrix;palier;turp;
Pompe1;;;Turb3;1416;2160;;2;2;2;Turb1+Turb4;;0;;0;
Pompe2;;;;;;;2;2;0;;;1;;1;
